"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000571428571428571	0.00114285714285714	0.000428571428571429	0.000714285714285714	0.000428571428571429	0.000714285714285714	0.000571428571428571	0.000714285714285714	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0	0	0.000285714285714286	0	0	0	0	0.00442857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0	0.000428571428571429	0.000142857142857143	0.001	0.000285714285714286	0.001	0.00114285714285714	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0	0.000571428571428571	0.000142857142857143	0.000571428571428571	0.000142857142857143	0.000571428571428571	0.000857142857142857	0.001	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000285714285714286	0.000142857142857143	0.000714285714285714	0	0.000142857142857143	0	0.000142857142857143	0.00228571428571429	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.000142857142857143	0.000285714285714286	0	0.000714285714285714	0.000285714285714286	0.00128571428571429	0.000857142857142857	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella"	0.000857142857142857	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"	0	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000571428571428571	0.000714285714285714	0.000428571428571429	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000142857142857143	0.000142857142857143	0.000571428571428571	0	0.000285714285714286	0	0	0.00157142857142857	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania"	0	0.000285714285714286	0	0.000428571428571429	0	0.000571428571428571	0.000571428571428571	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus"	0	0	0.00228571428571429	0	0	0	0	0	0
