"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.012	0.00414285714285714	0.00171428571428571	0.00457142857142857	0.00842857142857143	0.001	0.00128571428571429	0.0107142857142857	0.00328571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0.00157142857142857	0	0.00214285714285714	0.0155714285714286	0.00328571428571429	0.00128571428571429	0.000714285714285714	0.00285714285714286	0.0137142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.00742857142857143	0.00142857142857143	0.00657142857142857	0.00285714285714286	0.00842857142857143	0.00385714285714286	0.00414285714285714	0.001	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00328571428571429	0.00457142857142857	0.00271428571428571	0.006	0.00414285714285714	0.00185714285714286	0.00228571428571429	0.005	0.004
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0.00328571428571429	0	0.00171428571428571	0.00771428571428571	0.00542857142857143	0.000571428571428571	0.000428571428571429	0.00428571428571429	0.00785714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0	0	0.0118571428571429	0	0	0	0	0.0152857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.0111428571428571	0.00142857142857143	0.00271428571428571	0.001	0.00142857142857143	0.00228571428571429	0.00328571428571429	0.000428571428571429	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae"	0.00714285714285714	0	0.00128571428571429	0.002	0.00171428571428571	0.000714285714285714	0.000428571428571429	0.000142857142857143	0.0105714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00357142857142857	0.00157142857142857	0.00185714285714286	0.00157142857142857	0.00671428571428571	0.00114285714285714	0.00171428571428571	0.00214285714285714	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0	0.00728571428571429	0	0	0	0	0.0148571428571429
