"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.00314285714285714	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.001	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.00157142857142857	0.000285714285714286	0	0.00142857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.00257142857142857	0.000285714285714286	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0.00328571428571429	0.000285714285714286	0.000428571428571429	0.000285714285714286	0	0.000142857142857143	0.000285714285714286	0	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.000714285714285714	0.000571428571428571	0.000428571428571429	0.00114285714285714	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.00242857142857143	0.000142857142857143	0	0.000714285714285714	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.00285714285714286	0	0	0.000285714285714286	0.000285714285714286	0	0	0.000714285714285714	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.000285714285714286	0.000714285714285714	0.000285714285714286	0.000714285714285714	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0.00128571428571429	0	0	0.000428571428571429	0.000571428571428571	0.000428571428571429	0	0.000428571428571429	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000428571428571429	0.000714285714285714	0.000142857142857143	0.000571428571428571
