"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00114285714285714	0.00214285714285714	0.002	0.000285714285714286	0.00114285714285714	0.00328571428571429	0.00328571428571429	0.00242857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.000857142857142857	0	0.000142857142857143	0.0111428571428571	0.00114285714285714	0.000571428571428571	0.001	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella maculosa"	0.00185714285714286	0.000714285714285714	0.00185714285714286	0.000428571428571429	0.00228571428571429	0.00328571428571429	0.00171428571428571	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00228571428571429	0.00228571428571429	0.00171428571428571	0	0.00142857142857143	0.00171428571428571	0.00314285714285714	0.00285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecigallinarum"	0.000714285714285714	0.00257142857142857	0.000142857142857143	0	0.00185714285714286	0.002	0.00414285714285714	0.00357142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii"	0.00285714285714286	0.00157142857142857	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000714285714285714	0.00871428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides koreensis"	0.00428571428571429	0.00228571428571429	0.00157142857142857	0.000428571428571429	0.00114285714285714	0.001	0.00114285714285714	0.00285714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium cebidarum"	0	0	0	0.0137142857142857	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella koreensis"	0.001	0.000714285714285714	0.000428571428571429	0	0.00357142857142857	0.00257142857142857	0.00128571428571429	0.00371428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella loescheii"	0.00142857142857143	0.000285714285714286	0.000571428571428571	0	0.00257142857142857	0.003	0.000571428571428571	0.00428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000714285714285714	0.000285714285714286	0.00114285714285714	0.00185714285714286	0.00214285714285714	0.00242857142857143	0.001	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena contorta"	0.00485714285714286	0.00214285714285714	0.000857142857142857	0	0.00214285714285714	0.000571428571428571	0.001	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.00114285714285714	0.002	0.00142857142857143	0.000142857142857143	0.00157142857142857	0.002	0.00185714285714286	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.00328571428571429	0.00171428571428571	0.000285714285714286	0.000714285714285714	0.000571428571428571	0.002	0.00157142857142857	0.002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.004	0.00257142857142857	0.000857142857142857	0	0.00228571428571429	0.000428571428571429	0.000571428571428571	0.00114285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0.00171428571428571	0	0	0.01	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum gordoncarteri"	0.00128571428571429	0.000714285714285714	0.00114285714285714	0.000714285714285714	0.00214285714285714	0.00185714285714286	0.000714285714285714	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.00314285714285714	0.00185714285714286	0.000428571428571429	0.000142857142857143	0.00142857142857143	0.000428571428571429	0.00142857142857143	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0.00142857142857143	0.00142857142857143	0.000285714285714286	0.00114285714285714	0.00114285714285714	0.002	0.001	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella shahii"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0	0.00285714285714286	0.00228571428571429	0.000285714285714286	0.00414285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0.001	0.000142857142857143	0.000571428571428571	0.007	0.000714285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00128571428571429	0	0.000428571428571429	0.00271428571428571	0.002	0.000142857142857143	0.00228571428571429	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0.001	0.00114285714285714	0.000428571428571429	0	0.00242857142857143	0.000428571428571429	0.00171428571428571	0.002
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma|s__Asteroleplasma anaerobium"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens"	0.002	0.00171428571428571	0.000428571428571429	0.000142857142857143	0.001	0.000428571428571429	0.000285714285714286	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio hungatei"	0.000857142857142857	0.000285714285714286	0.000571428571428571	0	0.001	0.000142857142857143	0.00428571428571429	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000571428571428571	0.000285714285714286	0.000571428571428571	0	0.002	0.00242857142857143	0.000142857142857143	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0.00157142857142857	0	0	0.00571428571428571	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora amygdalina"	0.001	0.000714285714285714	0.000142857142857143	0	0.00114285714285714	0.000714285714285714	0.000571428571428571	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.00257142857142857	0.00171428571428571	0.000285714285714286	0.000142857142857143	0.000714285714285714	0.000857142857142857	0.000571428571428571	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis"	0.000857142857142857	0	0.000142857142857143	0	0.00114285714285714	0.000714285714285714	0.000571428571428571	0.00285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.002	0.000857142857142857	0.000571428571428571	0.002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.00157142857142857	0.000714285714285714	0	0.000142857142857143	0.000571428571428571	0.000571428571428571	0.000857142857142857	0.00171428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.000142857142857143	0.000142857142857143	0	0.002	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.00257142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium samirii"	0.000285714285714286	0	0	0.00542857142857143	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.000571428571428571	0.000142857142857143	0.000428571428571429	0	0.000714285714285714	0.00214285714285714	0.000571428571428571	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale"	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.00128571428571429	0.00114285714285714	0.000428571428571429	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia formatexigens"	0.00114285714285714	0.000714285714285714	0.000285714285714286	0	0.000428571428571429	0.00128571428571429	0.000857142857142857	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella muris"	0.000571428571428571	0.000571428571428571	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.00142857142857143	0.000285714285714286	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium callanderi"	0.00171428571428571	0.000285714285714286	0.00171428571428571	0	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium edouardi"	0.00157142857142857	0.001	0	0	0.000857142857142857	0.000285714285714286	0.000285714285714286	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix alysoides"	0.000857142857142857	0.00128571428571429	0.000571428571428571	0	0.000714285714285714	0.000428571428571429	0.000428571428571429	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella illustrans"	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.00114285714285714	0.00114285714285714	0.000142857142857143	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio fibrisolvens"	0.000857142857142857	0.000571428571428571	0.000285714285714286	0.000285714285714286	0.000714285714285714	0.000571428571428571	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella lacticifex"	0.000285714285714286	0	0	0.000428571428571429	0.000428571428571429	0.00142857142857143	0	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides johnsonii"	0.000142857142857143	0	0	0.000142857142857143	0.000571428571428571	0.00157142857142857	0	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena orotica"	0.00157142857142857	0.000142857142857143	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella marshii"	0.000285714285714286	0.000142857142857143	0.000285714285714286	0	0.000714285714285714	0.000571428571428571	0.000142857142857143	0.00157142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.001	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.00114285714285714	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella intestinihominis"	0.001	0.000571428571428571	0.000285714285714286	0.000285714285714286	0.000857142857142857	0.000428571428571429	0	0.000142857142857143
