"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.000714285714285714	0.00614285714285714	0.0105714285714286	0.00514285714285714	0.00114285714285714	0.00385714285714286	0.00185714285714286	0.00642857142857143	0.005
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.003	0.005	0.00428571428571429	0.00271428571428571	0.00328571428571429	0.00485714285714286	0.004	0.00771428571428571	0.00514285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00257142857142857	0.004	0.0125714285714286	0.00514285714285714	0.00271428571428571	0.00314285714285714	0.00328571428571429	0.00328571428571429	0.00271428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0	0	0.00871428571428571	0	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.0291428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000285714285714286	0.002	0.00628571428571429	0.00457142857142857	0.00142857142857143	0.00371428571428571	0.00328571428571429	0.008	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00142857142857143	0.00142857142857143	0.00914285714285714	0.00171428571428571	0.00128571428571429	0.00114285714285714	0.00114285714285714	0.0114285714285714	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.002	0.00185714285714286	0.008	0.00114285714285714	0.002	0.001	0.00157142857142857	0.00971428571428571	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.00128571428571429	0.00228571428571429	0.000428571428571429	0.00271428571428571	0.00642857142857143	0.005	0.00457142857142857	0.002	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00142857142857143	0.004	0.00157142857142857	0.00228571428571429	0.00328571428571429	0.00328571428571429	0.00628571428571429	0.00142857142857143	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.000285714285714286	0.00114285714285714	0.00857142857142857	0.00114285714285714	0.000857142857142857	0.001	0.000571428571428571	0.00885714285714286	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus xylosus"	0	0	0.0204285714285714	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0.001	0.00228571428571429	0	0.00328571428571429	0.000428571428571429	0.006	0.00485714285714286	0	0.00171428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000714285714285714	0.00114285714285714	0.00928571428571429	0.00171428571428571	0.00157142857142857	0.001	0.000285714285714286	0.00328571428571429	0.000285714285714286
