"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0	0.00357142857142857	0.000714285714285714	0.000428571428571429	0.00457142857142857	0.00671428571428571	0.00871428571428571	0.00285714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0	0	0.004	0.0107142857142857	0.00514285714285714	0.00157142857142857	0.000857142857142857	0.00371428571428571	0.00171428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0	0.002	0.001	0.00528571428571429	0.00371428571428571	0.00342857142857143	0.00242857142857143	0.00428571428571429	0.00157142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0	0	0.00214285714285714	0.000428571428571429	0.00357142857142857	0.00471428571428571	0.00671428571428571	0.00242857142857143	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0	0.000714285714285714	0.00171428571428571	0.0102857142857143	0.00357142857142857	0.00142857142857143	0.002	0.00114285714285714	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0	0.00385714285714286	0.002	0.00257142857142857	0.00257142857142857	0.00228571428571429	0.00228571428571429	0.00242857142857143	0.00185714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.015	0.000571428571428571	0.00314285714285714	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000285714285714286	0.00285714285714286	0.00214285714285714	0.00514285714285714	0.00171428571428571	0.00214285714285714	0.000571428571428571	0.00242857142857143	0.00128571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oryzae"	0	0.00471428571428571	0.000142857142857143	0.000428571428571429	0.00371428571428571	0.00128571428571429	0.00685714285714286	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0	0.000428571428571429	0.000428571428571429	0.000857142857142857	0.00428571428571429	0.00257142857142857	0.006	0.00114285714285714	0.001
