"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000714285714285714	0	0.004	0.00371428571428571	0.000142857142857143	0.0157142857142857	0.000714285714285714	0.00214285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0.0187142857142857	0.00714285714285714	0	0	0	0	0.000857142857142857	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.000571428571428571	0.00114285714285714	0.00342857142857143	0.0121428571428571	0.000714285714285714	0.00114285714285714	0.00271428571428571	0.00271428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.00257142857142857	0	0.00385714285714286	0.00942857142857143	0.000571428571428571	0.00114285714285714	0.00214285714285714	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.0107142857142857	0.00957142857142857	0.000714285714285714	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.001	0.0117142857142857	0.000714285714285714	0.00342857142857143	0.000285714285714286	0.000571428571428571	0.000714285714285714	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.00185714285714286	0	0.00385714285714286	0.00342857142857143	0.000142857142857143	0.00571428571428571	0.00128571428571429	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00357142857142857	0.000285714285714286	0.00471428571428571	0.00214285714285714	0.00171428571428571	0.00128571428571429	0.00157142857142857	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00628571428571429	0	0.00157142857142857	0.000571428571428571	0.00142857142857143	0.00214285714285714	0.00157142857142857	0.00371428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium perfoetens"	0.000285714285714286	0.0142857142857143	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.002	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00242857142857143	0.00371428571428571	0.000857142857142857	0.002	0.00157142857142857	0.00128571428571429	0.00114285714285714	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae"	0	0.0144285714285714	0.000142857142857143	0	0	0.000285714285714286	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus"	0.000142857142857143	0.0131428571428571	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum succiniciproducens"	0.000142857142857143	0	0.00157142857142857	0.00328571428571429	0.00442857142857143	0.00128571428571429	0.00114285714285714	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium massiliamazoniense"	0	0.00485714285714286	0	0	0.00371428571428571	0.000714285714285714	0	0.00314285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.000285714285714286	0.011	0.000142857142857143	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.001	0.000142857142857143	0.001	0.00271428571428571	0.001	0.00242857142857143	0.002	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00171428571428571	0.004	0.00114285714285714	0.000571428571428571	0.000428571428571429	0.000142857142857143	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0.000714285714285714	0	0.000571428571428571	0.00471428571428571	0.000571428571428571	0.000285714285714286	0.00114285714285714	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00357142857142857	0.000142857142857143	0.00285714285714286	0.000428571428571429	0.000571428571428571	0.000285714285714286	0	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.001	0.000142857142857143	0.00185714285714286	0.00142857142857143	0	0.002	0.000142857142857143	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0	0	0.001	0.00428571428571429	0.000285714285714286	0.000428571428571429	0.00128571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000714285714285714	0	0.000142857142857143	0.00142857142857143	0.00128571428571429	0.00185714285714286	0.002	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.000571428571428571	0	0.001	0.00142857142857143	0.000571428571428571	0.00171428571428571	0.000857142857142857	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000142857142857143	0.000142857142857143	0.000857142857142857	0.00314285714285714	0.000428571428571429	0.000142857142857143	0.00171428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.003	0.00185714285714286	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000428571428571429	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0.000285714285714286	0	0.00128571428571429	0.00314285714285714	0.000285714285714286	0.000142857142857143	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides koreensis"	0.000142857142857143	0.00557142857142857	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0.00171428571428571	0.000142857142857143	0.00128571428571429	0.000428571428571429	0.000714285714285714	0.000285714285714286	0.000428571428571429	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.001	0.001	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000428571428571429	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium baratii"	0	0.00342857142857143	0	0	0.000571428571428571	0	0	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens"	0.000428571428571429	0.00185714285714286	0	0	0.00214285714285714	0	0	0.000571428571428571
