"ID"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"txid1673717"	0	2	0	1	0	0
"txid642589"	1	0	0	0	0	0
"txid1632013"	0	3	0	0	0	0
"txid1535"	5	4	0	1	0	0
"txid384638"	0	1	0	0	0	0
"txid2654621"	1104	2033	879	1378	1344	860
"txid742816"	1538	802	1021	919	972	403
"txid158847"	247	411	759	284	718	101
"txid491921"	8	32	63	11	48	5
"txid156456"	0	0	0	1	0	0
"txid1852378"	0	2	2	0	4	1
"txid1852379"	0	5	6	2	8	0
"txid1122219"	0	1	0	0	0	0
"txid1064535"	219	266	489	714	571	192
"txid1675036"	0	0	4	1	1	0
"txid879612"	78	149	262	275	315	72
"txid1232428"	110	93	156	387	212	110
"txid187326"	2	10	20	14	33	4
"txid349095"	35	149	316	167	397	32
"txid2144175"	49	64	102	192	129	42
"txid349094"	0	1	0	1	1	0
"txid1111454"	0	1	2	1	6	1
"txid2045301"	4	42	50	27	93	5
"txid1936062"	0	0	1	1	2	1
"txid850"	10	32	0	0	1	38
"txid852"	1	18	0	0	0	6
"txid856"	22	116	95	10	54	183
"txid1852381"	45	32	48	15	37	31
"txid2584944"	30	16	54	8	29	31
"txid1944635"	153	78	247	38	168	150
"txid1107316"	0	0	1	0	0	0
"txid824"	0	1	0	0	0	0
"txid179995"	0	0	0	1	0	0
"txid762983"	32	82	14	29	35	32
"txid881260"	0	0	0	0	2	0
"txid2497875"	0	0	0	0	3	0
"txid550"	0	0	0	0	2	0
"txid299767"	0	0	0	0	5	2
"txid2529382"	0	0	0	0	1	0
"txid2497436"	0	0	0	0	2	0
"txid2071710"	0	0	0	0	3	0
"txid585054"	300	40	0	5	3	3
"txid1499973"	117	19	0	4	0	1
"txid621"	38	7	0	1	1	1
"txid622"	1	1	0	0	0	0
"txid623"	249	40	0	3	1	4
"txid624"	0	1	0	0	0	1
"txid549"	0	0	0	0	2	0
"txid584"	0	0	40	0	0	0
"txid985008"	0	0	1	0	0	0
"txid733"	1	0	0	0	0	1
"txid1461579"	1	0	0	0	0	0
"txid85403"	0	0	1	0	0	0
"txid2316085"	0	0	0	0	0	16
"txid296"	0	0	0	0	0	100
"txid122355"	0	0	0	0	0	1
"txid1608994"	0	0	0	0	0	8
