"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00357142857142857	0.00371428571428571	0.000428571428571429	0.00128571428571429	0.000428571428571429	0.00442857142857143	0.000428571428571429	0.00328571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.000857142857142857	0.000714285714285714	0.00357142857142857	0.00114285714285714	0.00314285714285714	0.00442857142857143	0.00285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00442857142857143	0.00185714285714286	0.000714285714285714	0.000714285714285714	0.00128571428571429	0.00228571428571429	0.000857142857142857	0.00371428571428571
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium samirii"	0	0	0.00728571428571429	0	0.00557142857142857	0	0.00157142857142857	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00385714285714286	0.00271428571428571	0	0.000428571428571429	0.000571428571428571	0.002	0.000285714285714286	0.00442857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0.00685714285714286	0	0.00342857142857143	0	0.00171428571428571	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0	0.00914285714285714	0	0.00171428571428571	0	0.001	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000428571428571429	0.000857142857142857	0.00285714285714286	0.000714285714285714	0.000857142857142857	0.00485714285714286	0.000857142857142857	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.000714285714285714	0.00128571428571429	0.000428571428571429	0.000571428571428571	0.00342857142857143	0.00285714285714286	0.00171428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.000428571428571429	0.000571428571428571	0.00128571428571429	0.00128571428571429	0.00228571428571429	0.000714285714285714	0.00257142857142857	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0	0	0.00442857142857143	0.000285714285714286	0.002	0.000285714285714286	0.00228571428571429	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0.000142857142857143	0.000142857142857143	0.00328571428571429	0.00285714285714286	0.00185714285714286	0.000714285714285714	0.000285714285714286	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0.000428571428571429	0.00114285714285714	0.001	0.000571428571428571	0.000571428571428571	0.00414285714285714	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.003	0.00157142857142857	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00142857142857143	0.000142857142857143	0.001
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pongonis"	0	0	0.00342857142857143	0	0.00357142857142857	0	0.00114285714285714	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium angulatum"	0	0	0.00314285714285714	0	0.00328571428571429	0	0.000857142857142857	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0	0.00414285714285714	0	0.00242857142857143	0	0.000571428571428571	0
