"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00214285714285714	0.000428571428571429	0.00242857142857143	0.00171428571428571	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.00885714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000857142857142857	0.00142857142857143	0.000857142857142857	0.00771428571428571	0.00142857142857143	0	0.00471428571428571	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0	0.000142857142857143	0	0.000142857142857143	0	0.0161428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0	0.00157142857142857	0.00342857142857143	0.00285714285714286	0.00357142857142857	0.000142857142857143	0.00185714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.00271428571428571	0.000285714285714286	0.002	0.000142857142857143	0	0.000285714285714286	0.000285714285714286	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.000714285714285714	0.00114285714285714	0.00157142857142857	0.00157142857142857	0.00185714285714286	0.00257142857142857	0.002	0.001
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0.00914285714285714	0.00128571428571429	0	0	0	0	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00742857142857143	0	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.001	0.000714285714285714	0.000571428571428571	0.00342857142857143	0.00214285714285714	0.000428571428571429	0.00128571428571429	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.000857142857142857	0.000142857142857143	0.000571428571428571	0.00228571428571429	0.000857142857142857	0.000285714285714286	0.00428571428571429	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.00228571428571429	0	0.000428571428571429	0	0	0.00128571428571429	0	0.00557142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00228571428571429	0.00114285714285714	0.000285714285714286	0.00228571428571429	0.00171428571428571	0.000285714285714286	0.00142857142857143	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.001	0.000142857142857143	0.000285714285714286	0	0	0.000428571428571429	0	0.00657142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0	0.00157142857142857	0.000714285714285714	0.000571428571428571	0.00371428571428571	0.000285714285714286	0.00114285714285714	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.000428571428571429	0.00157142857142857	0.001	0.000857142857142857	0.00257142857142857	0	0.000142857142857143	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0.005	0.00185714285714286	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.000285714285714286	0.000571428571428571	0.000571428571428571	0.00214285714285714	0.00128571428571429	0	0.00128571428571429	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter ludwigii"	0	0	0	0	0	0	0.006	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.00157142857142857	0.000428571428571429	0.000428571428571429	0.001	0.000571428571428571	0	0.00171428571428571	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium saguinibicoloris"	0	0.00314285714285714	0.00185714285714286	0	0	0	0	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.000142857142857143	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00328571428571429	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0.003	0.000571428571428571	0	0	0	0	0.00114285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0.00242857142857143	0.00157142857142857	0	0	0	0	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.00128571428571429	0.000714285714285714	0.000285714285714286	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.000857142857142857	0	0.000571428571428571	0	0	0	0.000142857142857143	0.00228571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0	0.000857142857142857	0.00185714285714286	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00271428571428571	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000428571428571429	0	0.000142857142857143	0
