tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008-CTRL	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	126	36	0	0	0	0	166
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	2	21	0	4	1	0	2	7	0	0	0	0	0	70	25	0	3	3	0	0	0	0	9	1	148
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	2	0	0	37	4	0	0	5	1	14	0	3	4	23	11	0	1	0	0	0	2	14	17	8	146
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	3	2	0	11	16	21	7	5	1	2	0	1	1	12	15	0	3	6	4	0	0	5	2	5	122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	0	0	0	2	11	18	15	17	4	1	1	0	0	0	0	7	11	8	2	22	119
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	6	0	0	6	12	0	13	3	0	0	0	0	0	22	41	4	6	1	0	0	0	0	0	0	114
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	0	0	107	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	109
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	5	3	0	13	12	18	0	1	1	5	3	5	1	0	0	0	1	0	0	0	0	32	0	0	100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	24	0	5	2	2	0	0	0	2	3	8	0	5	0	0	0	0	0	0	0	35	12	1	100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	3	1	0	9	4	2	5	7	2	4	3	4	4	18	5	1	0	7	0	6	0	8	4	2	99
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	3	0	0	0	0	90
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	6	1	0	3	5	12	6	7	0	3	1	3	5	10	0	0	5	0	0	0	0	7	11	4	89
