tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004-CTRL	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	1	0	0	9	26	0	2	0	0	11	12	0	3	21	14	13	4	22	19	0	0	0	0	157
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	2	5	1	0	3	8	6	5	1	0	15	7	8	5	18	22	11	2	1	10	1	11	7	5	154
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	10	2	0	0	9	7	12	0	0	0	0	0	0	0	62	11	13	0	0	0	5	6	1	14	152
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	0	8	13	0	8	6	3	0	0	0	13	8	7	5	22	23	4	5	2	3	1	14	3	1	149
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	1	0	0	0	7	4	33	2	0	1	0	2	2	14	18	2	9	14	0	24	0	0	0	8	141
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	3	3	0	6	4	2	3	0	2	16	9	23	7	13	11	5	12	5	4	1	9	0	0	138
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	110	0	0	0	1	0	0	1	4	0	1	0	11	0	0	2	1	1	0	0	1	2	135
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1	0	0	0	0	0	0	0	3	21	13	0	0	0	0	0	6	4	0	22	54	1	125
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	1	48	0	0	0	6	3	9	13	11	0	0	0	0	0	2	1	0	0	3	9	7	1	10	124
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	3	0	0	4	6	8	3	0	0	21	0	9	1	4	17	5	3	0	7	1	20	1	7	120
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	1	0	0	7	20	1	2	0	0	2	7	0	3	20	7	12	3	20	11	0	1	0	0	118
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	2	4	0	0	4	5	0	2	1	1	15	9	21	4	5	6	0	6	3	3	0	17	6	3	117
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	1	3	0	0	6	2	2	2	0	1	8	2	10	3	6	22	7	4	2	7	1	20	3	1	113
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	0	0	0	0	1	4	24	18	22	4	1	0	0	19	6	14	0	0	0	0	113
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	3	17	0	0	2	0	0	0	1	7	5	23	0	50	0	0	0	4	1	0	0	0	0	113
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	5	1	0	0	12	12	11	1	0	0	2	2	6	3	21	4	13	0	1	2	3	0	2	10	111
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	1	3	0	0	2	13	2	3	1	0	4	1	5	3	4	17	3	3	7	7	1	17	3	7	107
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	1	0	0	0	0	0	40	30	0	3	0	1	0	11	17	1	0	0	0	0	104
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	0	3	1	1	3	4	2	1	1	1	18	6	7	9	11	5	4	2	3	2	0	14	5	0	103
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	1	2	0	0	6	6	1	1	0	0	13	3	11	1	3	10	6	2	4	5	1	18	3	1	98
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	2	3	0	0	0	0	0	0	0	34	19	33	2	3	0	0	0	1	0	0	0	0	0	97
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	8	2	0	0	7	7	6	0	0	0	0	0	0	0	34	2	13	0	0	0	4	1	1	11	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	1	4	0	0	15	1	3	4	1	0	3	1	17	0	1	12	7	1	3	16	0	0	0	2	92
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	1	1	0	6	4	4	2	0	0	7	3	10	3	6	16	4	0	1	3	1	15	4	1	92
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	86	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	91
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	86	0	0	0	0	0	88
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	1	0	0	2	0	0	5	5	4	1	55	2	5	0	0	1	2	0	0	0	0	0	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	3	0	0	0	12	6	2	0	0	0	0	0	0	0	26	5	10	0	0	0	2	2	0	9	77
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	0	0	2	33	0	0	0	0	0	12	1	0	0	0	1	24	1	0	0	0	1	0	75
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	0	6	15	1	0	0	0	5	4	0	4	6	4	4	3	12	9	0	0	2	0	75
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	2	1	0	0	2	1	0	1	0	0	16	4	10	1	8	9	3	2	2	1	3	4	1	1	72
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	2	0	0	3	5	3	1	0	0	12	5	1	5	11	8	6	0	3	3	0	0	1	1	70
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	0	1	2	0	0	0	0	0	0	0	0	64	0	1	1	0	0	0	0	0	0	69
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	0	1	1	0	1	1	1	2	0	0	6	2	3	9	7	5	3	8	1	3	0	10	2	1	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	4	1	0	0	9	3	1	0	0	0	0	0	0	0	23	3	9	0	0	0	1	3	0	9	66
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	1	1	0	0	3	7	3	0	0	1	0	1	3	3	1	4	4	0	0	3	3	1	1	25	65
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	40	0	0	0	0	64
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	0	2	1	1	5	2	0	0	0	0	3	2	3	0	2	8	0	1	1	6	1	14	4	2	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	3	0	0	0	5	5	3	0	0	0	0	0	0	0	32	3	2	0	0	0	0	1	0	4	58
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	1	0	0	1	5	1	1	0	0	8	9	0	1	0	0	3	3	4	14	1	0	0	1	53
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	1	0	0	4	5	0	0	0	0	9	2	2	0	4	9	1	3	0	3	1	7	1	1	53
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	0	0	2	0	0	0	0	0	0	0	4	0	8	0	0	0	3	34	0	0	0	0	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	0	0	3	5	1	1	0	1	7	0	0	1	0	6	6	0	0	6	0	12	0	2	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	1	1	0	0	4	2	1	2	0	0	7	1	5	1	1	10	2	1	0	1	0	5	2	4	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	2	41	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	50
