tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	2	4	16	16	0	0	0	0	224	0	85	8	1	2	0	0	0	224	1	24	58	85	750
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	5	59	161	12	23	7	5	2	9	5	28	48	41	13	35	1	0	23	77	9	4	46	82	695
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	27	1	13	59	76	0	3	16	29	4	1	75	15	9	18	1	5	42	61	37	0	155	32	679
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	6	20	0	0	0	0	0	2	15	1	130	1	0	1	0	0	5	27	0	0	418	16	642
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	10	13	121	1	2	0	0	10	16	0	72	95	0	40	70	1	1	13	0	42	0	91	3	601
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	1	0	0	0	0	0	0	228	0	0	1	0	0	1	45	0	0	210	0	486
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	18	0	29	5	7	4	9	68	54	24	1	122	64	0	1	3	0	9	2	13	3	1	27	464
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	15	0	3	35	62	5	20	54	9	20	17	57	27	11	9	9	1	17	19	30	12	8	21	461
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	11	4	53	35	33	17	3	8	4	66	34	14	14	16	6	19	0	2	13	21	20	14	39	446
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	1	312	6	14	1	1	0	2	0	0	0	37	33	1	0	0	0	2	11	1	5	12	1	440
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	4	0	0	20	48	0	0	5	0	0	1	0	0	90	146	27	0	0	0	20	0	0	55	416
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	8	18	94	7	22	0	0	0	0	0	0	114	1	0	0	0	0	10	22	0	0	81	12	389
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	4	0	4	20	45	31	46	31	24	25	39	5	14	8	8	29	4	3	6	13	7	3	16	385
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	0	0	18	33	15	1	3	6	4	20	52	15	16	66	6	1	2	38	15	0	31	33	376
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	193	0	0	4	0	4	0	1	1	0	0	2	0	0	0	12	1	24	0	7	1	40	34	324
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	2	9	54	12	12	0	2	4	1	5	0	37	73	5	2	2	0	9	30	8	0	36	6	309
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	19	2	14	0	0	0	0	0	0	0	1	105	1	0	0	0	0	12	108	0	0	1	14	277
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	1	0	0	17	28	0	0	5	0	1	3	2	0	43	101	16	0	0	0	14	0	2	37	270
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	2	10	40	0	0	0	1	6	4	0	51	45	0	16	30	3	0	8	0	13	0	34	0	263
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	25	176	0	0	0	0	0	0	2	1	8	5	0	5	0	0	0	3	1	0	32	1	259
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	11	22	50	1	0	0	0	0	1	10	0	30	0	0	0	0	0	4	12	0	5	60	20	226
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	7	0	10	19	36	1	11	17	8	13	3	7	3	12	9	6	0	4	4	38	1	4	9	222
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	2	0	0	0	4	0	0	0	1	1	2	99	11	0	0	0	0	8	35	0	3	26	24	216
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	4	0	0	0	0	74	0	7	7	0	0	0	0	0	0	0	6	10	0	53	0	47	0	208
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	1	6	26	10	6	0	1	3	1	1	2	24	47	4	7	1	0	4	18	6	0	31	4	203
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	2	0	1	9	20	0	0	4	0	0	0	2	0	35	80	10	0	0	0	14	0	0	23	200
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	3	19	3	0	0	0	0	1	0	0	0	92	76	194
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	2	0	2	0	1	0	1	9	53	8	0	20	3	0	0	0	0	36	1	2	0	0	47	185
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	1	5	21	6	7	0	2	6	1	2	1	15	36	5	8	0	0	9	25	1	0	20	6	177
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	34	0	32	4	0	1	1	0	0	0	1	4	20	0	70	0	8	0	175
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	4	3	20	14	18	0	0	3	3	0	8	12	0	20	33	5	0	3	0	7	0	6	10	169
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	4	14	35	29	2	0	0	0	14	0	0	21	36	0	0	0	0	0	8	0	0	0	3	166
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	2	0	1	11	13	12	12	27	6	7	9	1	7	1	5	8	0	2	5	11	10	0	10	160
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	10	0	4	11	17	0	1	6	5	2	1	9	6	3	1	0	2	17	17	11	0	20	7	150
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	9	8	24	1	1	0	0	0	3	0	0	4	20	0	0	0	0	20	10	0	5	8	20	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	4	0	0	10	15	6	6	0	3	33	4	10	2	2	5	0	0	2	13	3	0	14	0	132
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	2	3	6	6	11	3	3	11	6	1	4	10	11	7	7	1	0	4	16	7	0	4	7	130
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	18	4	9	0	0	0	0	0	0	0	0	56	0	0	0	0	0	7	9	0	0	2	10	115
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	3	1	12	1	6	0	0	2	0	2	1	21	17	4	4	0	0	0	15	8	0	7	2	106
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	6	0	18	0	1	1	0	0	0	0	24	1	34	0	0	6	0	0	0	0	0	0	13	104
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	11	0	0	0	0	0	0	9	19	0	0	0	0	14	8	2	0	25	0	12	3	0	0	103
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	3	0	1	14	8	5	3	2	3	12	1	3	5	1	1	0	0	5	6	8	2	7	9	99
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	1	7	13	9	0	0	3	0	1	0	10	11	0	8	0	1	4	9	4	0	16	1	99
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	15	11	23	1	0	0	0	1	1	0	0	0	5	0	0	0	0	4	11	0	2	5	18	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	72	0	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	4	0	3	6	15	0	0	4	3	0	0	10	0	1	4	1	0	5	13	6	0	19	2	96
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	0	7	5	9	2	3	7	0	2	0	6	6	1	3	1	2	2	3	11	0	12	6	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	2	1	0	5	18	0	0	0	0	0	0	0	0	13	32	6	0	0	0	5	0	0	5	87
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	2	0	1	2	17	0	0	1	0	0	0	0	0	18	30	1	0	0	0	2	0	0	10	84
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	0	7	0	0	1	3	16	3	11	1	11	10	0	0	0	0	4	1	2	1	1	6	79
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	7	0	0	33	3	0	1	1	1	0	0	2	1	0	1	0	0	2	11	0	0	11	3	77
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	3	1	0	10	6	2	1	3	1	9	0	2	5	4	0	2	2	2	4	6	1	4	1	69
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	5	1	2	7	6	1	2	1	2	1	0	3	5	0	0	0	0	7	8	8	0	8	2	69
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	0	0	0	9	15	0	0	0	0	0	0	0	0	10	19	1	0	0	0	6	0	0	7	67
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	2	0	0	3	3	4	5	15	3	2	5	4	1	0	0	2	0	1	1	5	4	1	6	67
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	1	0	0	0	3	54	66
