tax	CHA-46-MGE-S38	CM-NTC-003-CTRL	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	2	0	8	1	2	1	17	11	1	1	2	0	7	1	8	0	0	1	12	0	4	0	4	0	83
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	10	0	0	3	20	5	1	0	0	0	3	9	2	2	12	4	9	0	0	0	0	3	83
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	50	0	0	0	0	26	0	0	1	2	0	0	0	0	0	0	0	79
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	2	0	8	2	0	4	2	9	1	2	4	8	1	7	5	5	0	5	5	0	3	0	5	0	78
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	0	46	0	0	0	6	7	0	0	2	2	0	0	0	0	3	0	9	0	0	0	0	1	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	5	0	0	0	1	0	3	7	4	0	23	18	0	4	2	1	0	1	0	0	0	0	1	4	74
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	4	0	2	0	2	0	6	14	2	0	1	5	0	4	3	0	5	5	12	0	0	0	2	3	70
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	0	2	6	1	1	1	6	1	0	1	3	3	9	5	6	3	5	2	0	0	0	5	5	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	2	0	15	1	4	0	3	4	4	0	0	2	5	1	4	4	3	5	6	0	0	1	3	1	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	1	0	0	0	0	4	3	9	4	0	3	14	3	2	1	0	2	14	2	0	0	0	2	0	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	3	0	1	3	1	3	0	7	5	0	3	8	2	6	2	3	7	2	8	0	0	0	0	0	64
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	57	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	60
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	2	0	8	1	4	1	1	1	1	0	0	1	7	11	6	2	2	3	4	0	2	0	2	0	59
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	0	4	0	0	0	5	11	2	0	0	0	5	0	0	0	0	0	7	0	1	0	0	21	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	3	0	14	0	0	1	3	5	1	2	3	5	1	1	3	1	3	1	6	0	0	0	2	0	55
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	6	0	0	0	1	0	0	0	0	1	29	16	0	0	1	0	0	0	0	0	0	0	0	0	54
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	3	0	0	0	6	5	0	0	0	0	0	0	0	12	1	0	1	0	0	0	2	14	10	0	54
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	0	0	47	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	52
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	1	0	0	2	3	5	0	0	5	10	2	3	1	1	4	10	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;[Curtobacterium] plantarum	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	1	0	1	0	1	1	0	6	4	13	2	3	4	0	0	0	0	0	5	0	0	2	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	3	0	2	2	2	1	3	3	2	0	1	2	2	2	6	4	1	3	1	0	0	0	2	0	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	4	0	6	0	0	0	1	2	0	0	1	1	9	2	0	2	2	8	2	0	1	0	1	0	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	2	0	3	3	3	2	0	3	1	1	1	3	2	4	4	4	0	0	2	0	1	0	1	2	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	0	5	1	1	0	0	4	0	0	1	2	3	6	2	7	0	1	5	0	1	0	2	0	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	2	0	1	1	2	2	2	0	3	7	5	8	3	0	0	0	2	0	0	1	1	0	40
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	3	0	1	3	4	0	1	1	1	0	2	1	0	2	3	0	1	1	2	8	3	0	2	1	40
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	0	1	3	0	1	2	1	0	4	6	0	1	2	0	0	4	0	5	1	1	4	3	39
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	3	0	1	3	0	1	1	5	1	0	0	5	2	1	0	0	0	3	3	0	2	0	7	0	38
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	2	0	0	0	0	0	1	5	4	0	0	0	0	0	0	9	3	5	8	0	0	0	0	0	37
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	1	0	1	4	1	2	0	3	1	1	0	1	1	0	5	0	1	2	2	7	1	0	3	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	0	0	0	0	0	0	0	1	1	0	27	8	0	0	0	0	0	0	0	0	0	0	0	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	1	0	0	0	0	0	0	9	2	0	0	5	1	0	2	0	0	0	1	0	1	0	1	13	36
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	4	0	0	5	3	3	1	1	1	0	2	1	0	1	2	2	0	2	1	0	0	0	4	3	36
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	2	0	0	0	2	0	0	0	0	0	20	11	0	0	0	0	0	0	0	0	0	0	0	0	35
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	0	1	1	4	3	0	0	2	0	1	2	0	5	1	3	1	3	3	0	1	0	2	0	34
