tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	51	8	168	0	0	0	392	252	0	1	37	24	80	20	318	154	235	114	94	283	72	213	48	108	70	101	311	181	251	372	106	541	94	230	61	36	111	34	60	117	57	165	344	487	99	234	99	130	16	0	119	345	184	331	7958
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	298	1525	44	0	0	1	1	13	0	2	82	28	41	20	44	96	69	56	70	10	18	50	55	53	39	17	1481	1674	26	56	0	4	10	8	175	163	0	2	3	0	29	52	1	0	6	9	2	15	29	467	71	106	199	201	7421
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	0	3	11	0	0	0	0	0	0	3	2	3	2	2	3	2	0	0	5	7	2	8	3	0	2	6	1099	868	374	292	0	5	2	2	1	2	455	2	4	2	0	0	732	763	52	53	1	2	0	0	531	903	565	565	7339
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	17	48	171	0	0	0	190	284	0	0	73	71	65	29	118	488	138	194	81	107	101	94	197	148	205	75	111	62	78	145	363	164	343	207	113	47	83	167	94	44	100	54	207	120	120	82	55	92	23	6	189	154	227	106	6450
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	122	1681	194	0	0	0	12	41	0	1	179	120	257	67	107	50	27	213	202	76	14	24	29	68	57	39	116	118	195	42	48	26	35	23	68	61	6	19	35	63	34	41	31	15	12	7	16	84	111	4	541	577	234	251	6393
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	16	35	0	0	0	118	20	0	0	19	3	21	3	69	22	169	56	387	76	4	48	39	234	59	59	15	64	919	167	51	54	44	48	210	339	10	20	31	5	39	257	12	13	7	9	21	9	3	39	103	959	97	1238	6240
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	2	0	61	0	0	0	227	289	0	1	39	18	55	20	172	199	377	48	30	186	43	121	105	537	126	127	28	85	93	417	116	171	73	180	86	75	240	41	39	149	62	147	136	188	102	205	58	91	13	12	58	267	70	171	6156
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium reuteri	8	0	5	0	0	0	771	210	52	174	8	4	36	13	129	11	159	7	71	193	10	43	16	142	137	154	7	26	354	196	225	268	183	144	41	170	24	59	109	80	9	46	139	93	19	27	149	47	1	64	154	510	30	259	5786
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis	1	0	0	0	0	0	0	0	771	4899	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	1	7	4	0	1	1	0	0	1	0	0	0	1	5696
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pullorum	13	0	881	0	0	0	6	8	0	0	8	7	20	24	69	21	45	17	122	89	10	17	16	58	5	15	1	2	402	7	105	79	90	97	281	399	0	1	2	2	211	654	19	21	0	0	91	15	15	1	157	507	164	582	5356
