tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens	0	0	4	0	0	0	0	0	0	0	4	1	0	1	3	2	1	1	4	4	2	3	1	0	5	3	1	3	1	1	7	12	7	6	0	4	1	6	18	1	0	0	14	8	0	0	2	4	1	0	1	5	5	3	150
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella phocaeensis	0	2	0	0	0	0	9	3	0	0	2	0	1	0	2	0	19	1	2	9	0	1	2	7	7	3	0	0	0	5	4	8	2	10	7	2	0	5	0	0	1	6	1	0	0	1	2	0	0	0	6	3	4	10	147
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	0	0	7	0	0	0	1	1	0	0	2	1	2	0	14	0	2	2	6	10	2	3	2	2	4	6	0	0	0	0	3	1	4	3	11	5	4	7	5	0	1	0	10	19	0	0	1	0	3	0	0	0	1	0	145
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	4	11	0	0	0	0	1	0	0	1	2	6	0	5	8	6	4	0	6	3	3	2	10	2	1	10	2	1	3	0	0	0	2	7	2	1	3	3	5	6	1	0	1	2	2	0	0	1	0	1	3	5	5	142
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium stellenboschense	0	0	0	0	0	0	4	8	0	0	0	0	0	0	6	0	10	0	1	8	0	6	0	4	1	7	0	1	3	8	11	18	4	14	0	1	0	0	1	1	0	1	0	3	0	1	6	2	0	2	0	6	0	2	140
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella timonensis	0	0	4	0	0	0	2	8	0	0	0	1	1	0	2	1	7	1	13	0	0	1	1	7	2	1	0	0	1	0	2	0	0	4	4	20	0	0	3	1	1	2	0	0	0	0	0	1	0	0	2	13	8	18	132
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	2	0	1	0	0	0	9	9	0	0	4	1	8	1	8	1	4	0	4	6	0	3	2	4	1	2	2	3	1	5	3	10	3	1	0	2	0	3	2	0	0	3	2	5	1	2	0	2	0	0	0	5	4	3	132
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	1	1	0	0	0	7	7	0	0	0	1	5	0	5	5	2	4	2	1	4	1	1	5	3	2	2	3	3	3	17	5	6	6	1	1	0	4	1	1	1	3	3	2	0	0	1	1	0	0	1	4	3	0	130
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	1	2	2	0	0	15	7	6	3	3	1	0	0	0	0	7	1	0	0	0	0	7	8	1	0	0	0	1	0	8	23	9	17	130
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	0	0	0	0	0	0	10	13	0	0	2	0	3	1	2	0	0	1	1	1	1	1	0	1	1	0	5	6	3	4	1	2	1	1	0	1	0	5	3	1	3	3	1	0	0	0	2	7	0	0	4	5	14	15	125
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	20	6	1	2	0	1	0	0	0	1	6	0	0	0	0	0	22	18	0	0	0	0	0	0	5	10	16	10	123
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	1	0	0	0	4	0	0	0	0	0	3	0	5	2	6	3	9	6	0	3	1	13	3	3	0	2	1	2	7	1	3	3	2	5	0	0	2	1	0	1	1	0	0	1	1	1	1	1	1	9	3	11	122
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	1	0	1	0	0	0	0	0	0	0	3	4	3	0	6	4	11	0	1	2	0	1	2	8	0	0	1	18	0	8	0	0	0	2	8	4	0	2	2	0	1	3	0	0	0	0	0	0	1	1	4	5	3	11	121
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	6	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	26	55	0	0	0	0	0	0	0	3	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	120
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	11	6	7	0	0	0	0	0	1	3	0	0	0	0	0	26	13	0	1	0	0	0	0	9	14	8	8	115
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	0	0	0	0	0	0	38	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	7	0	0	0	0	0	0	0	0	0	0	0	18	0	13	3	10	0	0	0	12	20	2	1	2	8	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2	4	4	111
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	51	20	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	12	0	0	0	0	0	1	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	111
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	19	7	0	0	0	0	0	0	0	1	2	1	0	0	1	3	2	1	0	0	1	0	1	2	0	0	1	16	3	0	0	0	0	1	6	0	0	0	0	2	4	0	2	1	0	0	2	0	14	0	1	7	8	109
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides acidifaciens	4	1	2	0	0	0	1	4	0	0	3	0	2	2	3	1	5	2	0	3	1	0	0	1	3	0	2	2	1	3	4	1	7	7	5	3	0	2	2	0	1	3	1	1	0	0	0	3	0	0	4	8	3	4	105
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	3	0	5	0	0	0	2	1	0	0	2	2	2	0	1	3	6	6	1	3	1	1	2	3	2	0	3	4	3	2	0	2	2	1	6	1	0	4	1	3	7	2	0	0	1	1	0	0	0	0	0	4	5	6	104
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	2	2	0	0	0	0	1	0	19	76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella parahaemolysans	0	0	0	0	0	0	0	0	16	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	10	4	5	0	0	0	0	2	0	0	0	2	0	0	4	5	1	6	1	1	3	3	4	5	2	1	12	1	1	1	1	0	0	0	7	1	0	1	1	0	0	1	0	0	2	3	0	0	1	1	1	1	2	1	98
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	1	0	2	0	0	0	1	5	0	0	2	1	2	0	1	2	0	2	2	2	3	4	3	3	3	1	4	2	0	0	7	4	5	4	1	0	2	2	1	1	3	1	3	0	0	2	2	2	1	0	1	3	3	2	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides pekinense	0	0	0	0	0	0	3	3	0	0	2	0	1	1	1	0	2	0	2	1	1	2	0	0	1	0	2	2	7	3	7	5	5	5	2	8	0	2	3	0	0	3	0	1	0	0	0	3	1	0	2	9	2	3	95
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	0	0	0	0	0	0	0	0	17	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	6	5	0	0	0	0	0	0	7	0	0	0	0	0	15	9	1	0	0	0	0	0	2	7	10	12	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides clarus	0	22	0	0	0	0	0	0	0	0	2	2	0	0	6	2	1	0	3	0	2	0	0	4	1	0	13	12	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	8	6	91
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pluvialisilvae	0	0	0	0	0	0	17	3	0	9	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2	0	0	7	4	0	1	0	0	2	2	3	1	1	0	0	0	1	1	1	0	1	3	1	0	0	5	10	2	9	91
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	4	2	5	0	0	0	0	4	0	0	0	1	1	0	6	6	3	5	2	2	1	1	3	1	2	1	14	3	1	0	0	1	2	0	2	1	0	1	0	1	3	0	0	0	1	0	0	0	1	1	2	0	6	1	91
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	2	0	2	0	0	0	3	3	0	0	2	0	1	0	6	2	4	2	1	4	3	3	0	2	0	1	8	0	1	2	1	3	2	4	0	1	3	1	0	0	0	1	1	4	1	1	0	2	0	0	2	6	1	4	90
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	0	8	0	0	0	4	4	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	1	0	13	0	4	1	1	1	1	1	4	0	0	1	2	0	1	0	2	3	0	2	0	0	0	0	5	6	9	8	90
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	2	2	0	0	0	0	0	0	0	0	0	2	1	2	1	2	2	3	5	0	1	0	0	0	6	2	0	0	2	1	3	2	4	1	4	16	1	3	1	0	0	3	2	0	0	2	2	2	0	0	0	0	1	81
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	9	4	12	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	6	3	10	2	80
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	1	0	1	0	0	0	0	0	0	0	1	1	7	1	3	0	0	3	2	2	1	0	2	4	3	0	3	2	2	3	1	1	2	0	5	4	1	1	2	0	6	3	0	1	0	1	0	0	0	0	0	4	3	2	79
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella congonensis	0	0	0	0	0	0	1	1	0	0	0	0	2	0	3	0	5	0	4	5	0	1	0	3	0	0	0	0	1	6	2	1	0	2	2	4	0	4	3	0	2	2	0	0	0	0	1	1	0	0	0	6	2	14	78
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	0	0	0	0	0	0	0	15	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	73
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enorma;[Collinsella] massiliensis	0	0	0	0	0	0	3	6	0	0	2	0	4	1	1	0	3	1	1	8	0	1	2	3	1	1	0	2	0	0	1	7	1	4	1	3	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	3	3	5	73
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium scardovii	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	11	8	0	1	0	7	1	1	0	0	1	1	1	1	1	0	3	7	0	1	0	0	3	4	0	0	0	0	0	0	0	0	1	3	1	5	71
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	37	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia brookingsii	0	2	3	0	0	0	1	4	0	0	0	1	1	1	1	1	3	5	0	3	1	6	1	4	2	0	2	0	0	2	1	0	1	1	3	0	0	0	0	1	2	2	0	0	0	0	0	1	0	1	5	0	4	2	68
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cancerogenus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	67
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	20	0	0	0	0	0	0	0	5	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	7	0	0	0	0	67
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	3	1	0	0	0	1	2	0	0	0	2	3	0	0	2	1	1	2	0	0	1	0	0	2	1	3	2	0	0	2	1	3	1	4	1	1	1	1	2	2	1	0	1	3	5	0	0	0	1	3	2	3	1	66
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	1	1	1	0	0	0	1	1	0	0	1	0	1	0	6	2	3	0	3	0	1	2	2	4	2	0	9	3	0	1	1	0	3	0	0	2	0	1	0	0	0	3	0	0	0	1	0	0	0	0	2	3	1	1	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	3	0	0	0	0	3	5	1	3	0	0	0	0	0	1	9	0	0	0	0	0	11	4	0	0	0	0	0	0	1	3	5	3	62
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium goeldii	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	9	7	0	0	0	7	0	0	0	0	0	2	1	1	0	1	2	9	0	0	1	1	1	2	2	1	0	3	0	0	0	0	1	1	0	4	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	1	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	3	0	0	0	1	1	1	2	0	2	0	0	0	0	1	0	0	1	2	0	0	2	6	7	12	62
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter oligotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	3	5	2	0	0	0	1	2	0	0	1	0	1	0	7	5	0	3	1	2	0	2	1	0	1	0	0	5	1	1	0	0	0	1	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	2	61
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella ihumii	0	0	0	0	0	0	8	2	0	0	0	0	0	0	2	2	5	2	4	6	0	0	0	1	0	0	0	0	0	1	3	3	1	1	3	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	4	61
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium simiiventris	0	0	1	0	0	0	0	0	0	6	0	1	0	0	6	0	2	1	10	3	0	1	0	2	0	0	0	0	4	2	1	1	0	1	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	5	59
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	2	0	0	0	2	0	0	0	3	1	5	1	1	0	4	0	0	2	0	2	1	0	0	0	1	5	1	1	2	0	1	1	2	1	0	0	1	0	0	0	2	0	0	0	3	3	0	0	1	3	2	4	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides luhongzhouii	10	11	1	0	0	0	0	3	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	6	10	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	2	1	58
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	4	3	1	1	0	0	1	2	1	1	1	0	0	3	1	0	0	0	1	1	3	1	0	2	0	2	3	0	0	0	0	2	0	0	0	0	7	3	2	58
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica	5	2	0	0	0	0	0	0	1	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	1	0	0	2	3	0	5	0	0	0	0	57
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter;Atlantibacter hermannii	8	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	8	0	0	1	0	1	0	3	1	3	0	0	55
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	1	1	2	0	0	0	2	1	2	0	0	0	0	1	1	1	1	2	2	0	0	0	0	1	4	11	0	0	0	0	0	0	5	2	4	3	54
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	3	0	0	0	4	2	0	0	0	0	0	0	3	2	5	0	3	3	0	0	0	10	2	1	0	2	1	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	4	54
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	0	0	0	0	0	0	0	0	0	0	1	2	1	1	3	2	4	0	0	2	0	0	2	1	1	0	0	5	0	4	0	0	1	0	3	3	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	3	3	5	54
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	0	0	1	0	0	0	3	6	0	0	0	0	0	0	5	1	2	1	1	0	1	2	0	2	0	0	1	1	1	1	1	7	0	1	0	1	1	0	0	0	0	0	1	1	1	0	2	1	0	0	1	0	2	3	52
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	2	2	3	0	0	0	1	4	0	0	1	2	0	0	2	3	1	2	1	0	1	0	0	1	2	0	1	1	0	0	0	0	1	0	2	1	0	2	0	0	1	1	2	0	2	0	0	1	1	0	3	1	2	1	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	1	1	14	0	0	0	0	0	0	0	1	0	0	0	2	4	0	2	1	0	1	2	2	1	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	1	4	2	1	0	0	0	0	0	0	0	2	2	1	1	51
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium callitrichidarum	0	0	2	0	0	0	0	0	0	0	0	1	3	0	3	0	2	0	2	5	0	0	0	0	1	0	0	0	2	0	0	0	0	1	2	4	0	0	0	0	2	4	1	0	0	0	0	0	0	0	4	6	2	4	51
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	32	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	3	3	50
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	9	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	1	5	2	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	4	4	0	2	0	0	0	5	0	0	0	0	46
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	4	0	0	0	0	0	0	0	1	2	2	0	2	0	1	0	3	3	1	1	0	1	3	0	2	0	0	3	1	1	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides chongii	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	8	10	41
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi	2	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	1	2	0	1	2	4	1	0	2	0	6	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	3	0	0	0	0	0	1	4	0	0	1	0	0	0	0	1	5	0	5	4	1	0	1	4	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	0	1	2	2	0	1	1	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	6	2	10	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	8	0	0	0	1	2	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	2	5	3	39
