tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	0	0	0	0	0	0	1107	46	192	0	1	0	0	50	27	15	41	18	0	0	0	0	67	127	1691
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	136	151	0	0	1	2	20	0	0	0	4	11	5	0	5	147	376	67	46	4	7	485	6	1473
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	1	0	0	0	0	0	0	0	0	1301	0	0	0	0	0	0	0	0	0	111	1413
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	0	0	0	0	0	149	226	263	0	0	70	29	49	0	26	2	51	0	0	0	0	203	343	1411
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	0	0	0	6	13	17	320	71	434	24	15	53	21	12	72	76	58	69	8	6	6	5	45	74	1405
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	0	0	3	2	3	27	436	140	30	105	8	6	17	3	22	1	210	1	1	2	1	111	240	1369
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	0	358	966	0	0	3	3	0	0	0	1	1	0	0	0	0	0	2	2	1	2	0	0	0	1339
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	340	848	0	0	3	0	1	0	0	1	0	0	0	0	1	1	3	0	3	2	1	0	0	1204
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	0	19	3	2	156	81	749	0	0	3	1	2	7	0	0	14	1	0	0	1	106	7	1152
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	0	241	790	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1036
