tax	BUD-57-MGE-S165	CM-NTC-009-NTC	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	74	0	15	49	23	79	49	52	87	219	53	135	72	102	1	50	30	71	144	142	40	67	106	24	1684
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	59	1	38	33	17	134	75	163	80	117	102	45	35	119	0	10	40	92	79	102	196	62	46	19	1664
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1339	0	0	0	0	1345
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	16	0	2	4	1	28	28	104	4	33	386	178	1	5	0	1	2	5	93	17	48	229	106	51	1342
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	17	1	11	27	5	94	65	41	133	117	184	95	67	14	0	5	12	9	136	121	19	83	55	18	1329
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	8	0	0	1	0	320	1	0	66	12	33	48	148	0	10	41	2	0	98	369	81	55	13	14	1320
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	36	2	4	35	12	44	21	14	170	15	248	59	9	64	25	85	24	44	98	62	27	56	34	8	1196
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	1	0	72	9	19	13	59	5	81	96	62	41	1	0	0	0	1	52	95	45	164	294	85	1195
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	55	1	6	6	0	96	316	425	25	18	43	23	4	20	0	5	2	4	6	2	33	14	51	1	1156
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	8	0	6	0	0	185	0	0	26	119	14	96	106	9	0	7	5	0	71	173	86	81	132	31	1155
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	2	0	0	1	0	193	16	27	8	66	57	63	86	0	0	22	1	0	89	150	181	56	103	14	1135
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	47	0	64	63	14	23	75	91	28	69	98	72	11	57	6	53	21	31	13	53	41	38	12	15	995
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	81	0	18	0	0	35	0	0	130	0	0	117	6	85	0	102	27	103	74	40	6	0	0	0	824
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	18	0	3	0	0	37	0	0	34	0	33	26	49	38	0	17	2	14	101	111	86	120	102	3	794
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	64	0	17	0	0	109	78	115	61	1	0	0	18	42	0	10	17	19	53	32	116	0	0	0	752
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	18	0	8	28	6	118	5	41	50	64	18	16	14	54	0	30	8	19	51	39	27	70	55	10	749
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	40	1	6	9	2	68	69	214	11	45	37	26	9	16	0	7	1	0	13	0	24	23	57	3	681
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	3	0	0	46	0	0	13	19	1	56	136	6	0	35	3	0	65	182	38	13	16	11	645
