tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010-CTRL	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	2981	1196	4646	10	1786	1328	3562	164	733	4539	924	1344	6392	5810	1476	1539	1021	1728	1896	2065	2520	1477	2637	8716	60490
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	2235	3398	1979	15	1577	975	2164	1535	2334	1410	2654	2015	1848	2702	2638	2894	2651	2578	2099	3239	2729	1159	2320	1445	50593
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	284	5198	1	7	163	1	0	12053	11841	1	0	2	1	0	0	1296	617	0	11	563	4	4731	1	0	36775
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	649	319	50	6	1941	956	1444	62	420	180	276	1044	1203	1268	190	2422	362	792	1078	619	523	656	262	1288	18010
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	1988	731	284	2	836	534	682	89	103	0	0	300	4	0	1	1084	1854	1043	1438	199	1903	168	1	0	13244
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	224	403	73	3	568	453	1341	53	289	343	313	416	494	1328	305	603	378	714	708	820	853	562	421	676	12341
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1553	0	4354	2	5	1	5	0	0	34	1	5	0	0	7	226	0	1292	1299	278	127	278	0	0	9467
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	24	302	0	3	252	440	139	42	66	159	203	216	729	1202	475	750	171	426	245	492	1	145	258	1764	8504
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	423	236	36	3	984	541	817	36	253	41	77	566	414	606	71	703	264	457	593	217	114	386	101	295	8234
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	190	524	62	2	194	93	34	23	31	396	92	63	59	3025	384	210	18	102	80	207	386	31	156	531	6893
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	43	48	47	1	0	0	0	0	0	6516	23	0	6	93	4	0	0	2	0	9	1	0	15	0	6808
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	417	316	27	1	840	401	608	30	174	30	78	402	266	297	41	889	375	390	416	145	55	271	63	154	6686
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	990	0	2656	2	3	0	4	1	0	36	0	8	0	1	2	117	0	865	760	182	100	166	0	0	5893
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	59	113	9	2	36	122	166	83	110	284	56	1090	140	52	822	128	30	120	669	398	0	332	614	384	5819
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	137	229	89	1	370	336	359	76	274	214	183	244	270	142	251	495	150	574	320	237	0	354	213	277	5795
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	135	226	55	0	368	228	296	68	228	213	229	247	259	227	250	373	117	479	293	225	2	282	194	306	5300
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	0	11	0	2	0	10	0	290	25	1677	1295	6	2	30	1020	16	5	0	3	0	0	1	539	7	4939
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	111	83	24	0	482	212	337	13	103	21	64	245	774	182	41	802	106	216	247	142	54	176	73	127	4635
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	200	67	81	0	163	314	125	9	14	98	54	55	62	1645	54	140	133	84	185	21	97	84	68	39	3792
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	243	315	233	0	0	0	0	0	25	97	169	237	0	0	282	329	140	286	763	204	1	169	170	0	3663
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	139	85	16	1	406	244	353	18	121	23	66	281	85	238	17	486	123	196	256	87	40	144	41	85	3551
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	17	169	82	3	265	248	119	29	79	59	45	154	332	356	146	26	111	195	240	240	1	83	37	482	3518
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	18	70	29	0	68	221	111	6	26	33	30	105	137	80	181	409	50	112	419	175	0	33	79	206	2598
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	99	89	87	0	326	51	43	64	72	101	64	42	136	176	194	139	22	94	115	154	5	114	247	81	2515
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	161	11	1086	0	4	0	0	0	1	421	14	0	5	8	267	0	0	1	3	13	0	0	87	7	2089
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	21	149	0	0	284	0	0	0	0	0	0	0	898	0	0	0	560	0	1	1	0	0	0	2	1916
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	8	53	0	0	68	90	43	11	16	45	47	51	84	391	105	138	28	87	66	108	0	31	67	346	1883
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	9	73	56	1	56	16	18	16	20	86	165	42	76	113	84	20	493	38	7	128	0	11	163	111	1802
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	104	92	28	0	85	3	3	3	90	193	26	3	40	7	369	85	16	64	91	112	1	23	163	191	1792
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	69	166	288	1	6	1	0	0	0	5	0	15	193	918	38	0	0	0	0	3	1	0	11	0	1715
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	54	75	89	1	59	62	45	0	28	98	40	53	23	73	193	46	25	94	101	100	0	46	86	138	1529
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	168	28	287	1	15	31	100	1	15	136	26	16	56	177	18	28	23	29	38	43	84	27	23	77	1447
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	192	0	517	0	0	0	1	0	0	9	0	6	0	0	0	21	0	389	157	72	0	42	0	0	1406
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	95	24	0	0	152	0	0	17	78	45	14	0	0	69	9	79	17	130	162	33	333	52	12	0	1321
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	281	0	732	1	0	0	0	0	0	4	0	1	0	0	0	7	0	1	202	0	0	43	0	0	1272
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	15	11	136	0	8	22	9	18	8	15	9	17	55	525	27	21	6	16	9	51	0	8	7	78	1071
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	16	0	53	0	0	0	0	0	0	0	0	0	0	0	7	35	0	740	17	174	2	1	0	0	1045
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	36	13	20	1	36	90	38	2	0	18	4	11	10	460	17	57	23	28	47	4	20	14	18	13	980
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	4	4	7	0	0	0	0	0	0	946	6	0	0	6	0	0	0	0	0	0	0	0	2	0	975
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	54	46	54	0	17	7	6	6	6	128	39	22	19	142	121	12	5	10	13	49	0	5	40	27	828
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	37	39	6	0	43	57	12	7	12	21	30	22	11	63	33	28	37	57	100	32	16	21	39	74	797
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	11	64	1	0	21	5	11	0	3	15	6	222	13	157	94	4	0	44	20	51	3	15	17	19	796
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	38	85	64	0	0	1	0	8	3	77	36	0	27	5	294	0	0	0	0	6	0	0	83	32	759
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	15	11	67	0	8	0	0	0	0	99	16	0	7	32	203	35	0	4	29	32	0	0	75	25	658
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	14	15	5	1	54	43	46	5	33	22	18	25	42	17	18	58	16	61	32	19	0	35	23	30	632
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	38	60	44	0	0	0	0	0	4	17	16	37	3	0	49	45	28	42	115	36	0	45	29	0	608
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	1	0	19	0	26	11	1	87	5	40	2	0	21	225	64	1	0	1	0	6	0	0	22	28	560
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	27	60	3	0	9	11	12	2	0	29	6	163	2	55	16	0	0	32	69	1	13	32	1	3	546
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	2	1	0	3	0	0	8	9	51	30	1	0	279	32	6	0	0	0	33	0	0	12	6	474
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	9	16	2	0	43	4	23	5	35	29	31	29	33	14	16	32	6	37	23	29	0	22	9	27	474
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	15	12	0	0	84	24	48	1	10	0	3	21	49	18	3	40	15	34	30	11	6	17	2	13	456
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	11	2	2	0	43	36	51	8	17	1	3	39	10	24	5	61	6	31	35	21	5	18	6	6	441
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	25	19	27	0	11	1	5	4	4	72	23	8	7	81	55	5	7	6	12	21	0	2	21	7	423
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	2	37	0	0	0	0	0	43	31	0	0	0	0	0	0	5	256	0	0	4	0	20	0	0	398
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	14	0	0	19	22	6	3	3	5	8	19	19	69	32	39	7	15	9	18	0	9	16	65	398
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	16	30	4	0	8	2	9	1	0	21	1	46	7	34	14	0	0	25	50	1	28	41	3	7	348
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	1	0	0	0	103	4	0	0	1	138	0	0	0	0	0	0	0	67	1	315
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	46	17	51	0	7	0	0	5	7	51	4	0	27	34	0	0	0	0	0	1	0	3	0	6	259
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	3	3	0	0	5	0	0	4	1	11	0	0	14	5	100	6	0	8	14	4	0	5	54	18	255
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	4	2	0	1	5	0	0	2	4	11	2	0	13	5	101	2	1	8	5	11	0	6	48	21	252
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	12	33	1	0	2	0	0	14	0	45	3	0	18	12	77	0	0	1	1	2	0	0	18	12	251
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	4	7	0	0	2	0	0	0	0	3	7	0	0	5	51	7	0	13	8	48	0	8	58	27	248
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	5	20	0	0	11	0	0	0	0	1	0	0	131	0	0	0	72	0	2	0	0	1	1	0	244
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	153	0	0	0	0	48	0	0	34	0	236
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	7	1	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	223
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	25	20	5	0	4	12	15	0	1	4	4	8	7	14	16	1	7	10	16	18	0	9	9	17	222
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	3	16	36	0	2	0	0	3	2	6	0	1	0	53	23	0	0	0	0	44	0	1	21	8	219
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	4	20	14	0	0	0	0	3	2	7	50	2	28	28	33	3	0	0	0	7	0	0	3	4	208
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	7	0	13	0	0	0	0	0	0	9	0	0	0	0	149	0	1	9	3	4	0	1	0	0	196
