tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010-CTRL	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	0	0	0	0	0	0	0	17	0	30
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	4	1	0	1	4	0	7	0	0	0	1	2	0	1	0	1	1	0	1	2	0	0	1	2	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	0	2	2	0	8	0	0	3	1	0	0	1	0	2	0	2	0	1	0	1	0	2	1	2	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	4	1	0	0	1	0	0	0	2	5	2	0	1	0	3	2	0	2	1	1	0	0	2	0	27
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	1	4	1	0	0	0	0	0	0	2	0	1	1	7	3	0	0	0	4	1	0	1	0	1	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	1	0	0	1	0	0	0	0	0	0	0	18	1	0	0	5	0	0	0	0	0	0	1	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	1	0	0	0	0	0	0	1	0	1	1	0	1	1	10	1	0	0	1	2	0	0	4	2	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	0	7	1	0	2	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	1	2	3	0	0	1	1	0	0	2	1	5	0	3	1	0	0	4	1	0	0	0	0	0	25
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	1	0	5	0	2	1	0	0	0	1	0	0	1	2	1	0	0	2	2	6	0	0	0	0	24
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	0	0	1	0	3	4	1	0	1	0	0	0	1	1	1	5	1	1	2	0	0	0	0	1	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	3	0	0	0	1	2	0	0	1	0	0	0	1	0	0	3	1	4	1	0	0	3	0	2	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	1	9	0	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	2	0	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	5	0	0	1	2	1	0	0	0	0	0	3	2	1	0	0	2	0	0	0	0	0	4	21
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	1	1	1	0	1	0	1	0	0	2	0	0	1	1	1	1	0	1	0	4	0	1	2	1	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	5	1	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	4	0	0	2	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	1	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	20
