tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006-CTRL	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	1	3	0	10	0	33	2	8	8	2	45	0	7	9	16	1	2	2	0	12	13	5	21	6	206
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	5	0	0	12	0	0	0	0	1	29	10	5	23	51	0	5	3	6	23	15	8	10	0	206
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	66	0	0	48	0	2	0	0	1	2	2	2	9	4	0	1	0	8	35	3	5	0	4	192
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	9	2	0	19	0	0	0	9	3	0	0	0	0	111	0	0	0	0	0	0	1	2	13	21	190
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	182	3	0	0	186
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	3	4	0	14	31	17	4	6	3	0	0	0	3	23	1	0	1	3	4	8	17	2	24	13	181
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	7	17	0	0	2	0	1	0	0	3	11	14	0	0	3	11	3	30	5	70	0	179
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	0	10	18	2	0	14	4	1	1	1	5	23	4	5	3	8	3	20	12	12	22	4	173
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	6	0	8	0	0	0	0	0	0	0	0	0	121	0	0	8	0	0	2	0	1	22	1	169
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	7	0	0	10	0	0	0	1	0	0	0	0	99	0	0	0	0	1	3	0	0	32	2	155
