"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella tayi"	0.000714285714285714	0	0.000428571428571429	0.000857142857142857	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella catena"	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus"	0.000428571428571429	0	0.00114285714285714	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.000428571428571429	0.000142857142857143	0.000571428571428571	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium saguinibicoloris"	0	0	0.00157142857142857	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia hominis"	0.000142857142857143	0	0.00142857142857143	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter mediterraneus"	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella tannerae"	0.000142857142857143	0	0.00114285714285714	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.000571428571428571	0	0.000714285714285714	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.000428571428571429	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio hungatei"	0.000571428571428571	0.000285714285714286	0.000285714285714286	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora amygdalina"	0.000571428571428571	0	0.000714285714285714	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea|s__Mediterranea massiliensis"	0	0	0.00114285714285714	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis"	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0	0	0.000428571428571429	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0.000285714285714286	0.000714285714285714	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola"	0.000428571428571429	0	0.000571428571428571	0.000142857142857143	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella maculosa"	0	0.000142857142857143	0.000714285714285714	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia schinkii"	0.000142857142857143	0	0.000428571428571429	0.000571428571428571	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna|s__Anaerocolumna jejuensis"	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli"	0.000142857142857143	0	0	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia caecimuris"	0	0	0.000285714285714286	0.000714285714285714	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0.000428571428571429	0	0.000142857142857143	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecigallinarum"	0.000142857142857143	0	0.000571428571428571	0.000142857142857143	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0	0	0.000428571428571429	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides chinchillae"	0	0	0.000714285714285714	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.000142857142857143	0	0.000428571428571429	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides finegoldii"	0	0	0.000142857142857143	0.000142857142857143	0.000428571428571429
